rank,config_json,Image Recall@1,Image Recall@5,Image Recall@10,Image MRR
1,"{""context_coefficient"": 0.5, ""map_weights"": [0.529792, 0.040458, 0.42975], ""min_margin"": 0.0, ""min_score"": 0.35, ""page_prior_coefficient"": 0.2, ""query_scale"": 0.45, ""rank_scale"": 0.5, ""rank_window"": 80}",0.45714285714285713,0.8857142857142857,0.9428571428571428,0.6225000000000002
2,"{""context_coefficient"": 0.4, ""map_weights"": [0.285322, 0.306496, 0.408182], ""min_margin"": 0.01, ""min_score"": 0.4, ""page_prior_coefficient"": 0.3, ""query_scale"": 0.45, ""rank_scale"": 0.25, ""rank_window"": 40}",0.45714285714285713,0.8714285714285714,0.9428571428571428,0.622216553287982
3,"{""context_coefficient"": 0.4, ""map_weights"": [0.553512, 0.188019, 0.258469], ""min_margin"": 0.0, ""min_score"": 0.35, ""page_prior_coefficient"": 0.25, ""query_scale"": 0.8, ""rank_scale"": 0.35, ""rank_window"": 120}",0.45714285714285713,0.8571428571428571,0.9428571428571428,0.6214229024943312
4,"{""context_coefficient"": 0.32, ""map_weights"": [0.401822, 0.202478, 0.3957], ""min_margin"": 0.0, ""min_score"": 0.35, ""page_prior_coefficient"": 0.2, ""query_scale"": 0.0, ""rank_scale"": 0.35, ""rank_window"": 40}",0.45714285714285713,0.8714285714285714,0.9428571428571428,0.6213662131519275
5,"{""context_coefficient"": 0.32, ""map_weights"": [0.338833, 0.215758, 0.44541], ""min_margin"": 0.0, ""min_score"": 0.35, ""page_prior_coefficient"": 0.2, ""query_scale"": 0.0, ""rank_scale"": 0.35, ""rank_window"": 80}",0.45714285714285713,0.8714285714285714,0.9428571428571428,0.6213662131519275
6,"{""context_coefficient"": 0.4, ""map_weights"": [0.401822, 0.202478, 0.3957], ""min_margin"": 0.0, ""min_score"": 0.45, ""page_prior_coefficient"": 0.25, ""query_scale"": 0.6, ""rank_scale"": 0.0, ""rank_window"": 40}",0.45714285714285713,0.8714285714285714,0.9428571428571428,0.6211281179138324
7,"{""context_coefficient"": 0.5, ""map_weights"": [0.436814, 0.168308, 0.394878], ""min_margin"": 0.01, ""min_score"": 0.4, ""page_prior_coefficient"": 0.2, ""query_scale"": 0.45, ""rank_scale"": 0.25, ""rank_window"": 40}",0.45714285714285713,0.8857142857142857,0.9428571428571428,0.6211111111111113
8,"{""context_coefficient"": 0.4, ""map_weights"": [0.292943, 0.252845, 0.454212], ""min_margin"": 0.0, ""min_score"": 0.45, ""page_prior_coefficient"": 0.2, ""query_scale"": 0.45, ""rank_scale"": 0.25, ""rank_window"": 80}",0.45714285714285713,0.8714285714285714,0.9428571428571428,0.6209693877551022
9,"{""context_coefficient"": 0.32, ""map_weights"": [0.499979, 0.145375, 0.354647], ""min_margin"": 0.0, ""min_score"": 0.45, ""page_prior_coefficient"": 0.2, ""query_scale"": 0.6, ""rank_scale"": 0.25, ""rank_window"": 120}",0.45714285714285713,0.8571428571428571,0.9428571428571428,0.6206519274376419
10,"{""context_coefficient"": 0.32, ""map_weights"": [0.41112, 0.129105, 0.459775], ""min_margin"": 0.0, ""min_score"": 0.35, ""page_prior_coefficient"": 0.2, ""query_scale"": 0.45, ""rank_scale"": 0.25, ""rank_window"": 120}",0.45714285714285713,0.8571428571428571,0.9428571428571428,0.6206519274376419
11,"{""context_coefficient"": 0.32, ""map_weights"": [0.182888, 0.283408, 0.533704], ""min_margin"": 0.0, ""min_score"": 0.35, ""page_prior_coefficient"": 0.25, ""query_scale"": 0.25, ""rank_scale"": 0.0, ""rank_window"": 40}",0.45714285714285713,0.8571428571428571,0.9428571428571428,0.6206519274376419
12,"{""context_coefficient"": 0.5, ""map_weights"": [0.338833, 0.215758, 0.44541], ""min_margin"": 0.01, ""min_score"": 0.4, ""page_prior_coefficient"": 0.25, ""query_scale"": 0.45, ""rank_scale"": 0.0, ""rank_window"": 120}",0.45714285714285713,0.8571428571428571,0.9428571428571428,0.6205498866213152
13,"{""context_coefficient"": 0.32, ""map_weights"": [0.303135, 0.32318, 0.373686], ""min_margin"": 0.01, ""min_score"": 0.35, ""page_prior_coefficient"": 0.2, ""query_scale"": 0.25, ""rank_scale"": 0.25, ""rank_window"": 80}",0.45714285714285713,0.8857142857142857,0.9428571428571428,0.6201190476190478
14,"{""context_coefficient"": 0.5, ""map_weights"": [0.553512, 0.188019, 0.258469], ""min_margin"": 0.01, ""min_score"": 0.35, ""page_prior_coefficient"": 0.25, ""query_scale"": 0.25, ""rank_scale"": 0.35, ""rank_window"": 80}",0.45714285714285713,0.8714285714285714,0.9428571428571428,0.6198356009070296
15,"{""context_coefficient"": 0.24, ""map_weights"": [0.306329, 0.255655, 0.438015], ""min_margin"": 0.01, ""min_score"": 0.35, ""page_prior_coefficient"": 0.3, ""query_scale"": 0.25, ""rank_scale"": 0.25, ""rank_window"": 120}",0.45714285714285713,0.8714285714285714,0.9428571428571428,0.6198356009070296
16,"{""context_coefficient"": 0.4, ""map_weights"": [0.505019, 0.13576, 0.359222], ""min_margin"": 0.01, ""min_score"": 0.35, ""page_prior_coefficient"": 0.2, ""query_scale"": 0.0, ""rank_scale"": 0.0, ""rank_window"": 80}",0.45714285714285713,0.8714285714285714,0.9428571428571428,0.6191213151927439
17,"{""context_coefficient"": 0.5, ""map_weights"": [0.32313, 0.336354, 0.340515], ""min_margin"": 0.01, ""min_score"": 0.45, ""page_prior_coefficient"": 0.25, ""query_scale"": 0.6, ""rank_scale"": 0.25, ""rank_window"": 120}",0.45714285714285713,0.8714285714285714,0.9428571428571428,0.6190646258503402
18,"{""context_coefficient"": 0.5, ""map_weights"": [0.623299, 0.102707, 0.273993], ""min_margin"": 0.0, ""min_score"": 0.4, ""page_prior_coefficient"": 0.1, ""query_scale"": 0.0, ""rank_scale"": 0.5, ""rank_window"": 120}",0.45714285714285713,0.8857142857142857,0.9285714285714286,0.6185090702947847
19,"{""context_coefficient"": 0.5, ""map_weights"": [0.41112, 0.129105, 0.459775], ""min_margin"": 0.0, ""min_score"": 0.45, ""page_prior_coefficient"": 0.3, ""query_scale"": 0.45, ""rank_scale"": 0.0, ""rank_window"": 40}",0.45714285714285713,0.8571428571428571,0.9428571428571428,0.6183276643990931
